trial,sl_mult,min_return,max_holding,sharpe_per_trade,total_return_pct,win_rate,n_trades,valid,label_total,label_count_-1,label_count_0,label_count_1,label_pct_-1,label_pct_0,label_pct_1
107,2.0092826606488514,0.0008885321008403473,38,1952.2866107829718,76431.7372668743,1.0,574903.0,True,794141,269386,219238,305517,33.92168393270213,27.60693629972511,38.47137976757276
108,2.399133562916244,0.0009208509016006079,45,,,,,False,794141,334613,142639,316889,42.13521276448389,17.96141994935408,39.90336728616203
109,2.2344760214899173,0.0008601287633131687,43,,,,,False,794141,338585,136700,318856,42.63537583376252,17.213567867670854,40.15105629856663
110,2.445673793378564,0.0008188939716014376,49,,,,,False,794141,394817,74253,325071,49.71623427074034,9.350102815494981,40.933662913764685
111,2.1992383592809492,0.0009547556328518801,42,1997.1207265533433,82178.42457911128,1.0,577086.0,True,794141,271864,217055,305222,34.233719200998316,27.332048087178475,38.43423271182321
112,2.3054407088460245,0.0009808496246349898,47,1991.1045695757446,86447.09958190192,1.0,587519.0,True,794141,280206,206622,307313,35.284162384261734,26.018301535873352,38.69753607986491
113,2.241435935901379,0.000901263966440082,43,2040.4874457608912,88282.763757842,1.0,629597.0,True,794141,315019,164544,314578,39.667892729376774,20.719746241536452,39.61236102908677
114,2.368742935254568,0.00089731345520059,44,,,,,False,794141,342152,133812,318177,43.08454040277482,16.849904487993946,40.065555109231234
115,2.1279589779091914,0.000875615460508642,42,2013.5875160896062,84072.05808583292,1.0,620825.0,True,794141,306617,173316,314208,38.609894212740556,21.8243359806382,39.56576980662124
116,2.2705357414159275,0.0009244830485778615,41,2040.0767223813575,87954.47236070911,1.0,617592.0,True,794141,305766,176549,311826,38.50273440106983,22.231442527208646,39.26582307172152
117,1.9218337337633995,0.0009298513324929619,39,1863.4462455341309,68239.34607169432,1.0,510172.0,True,794141,221001,283969,289171,27.828937178662226,35.75800770895848,36.41305511237929
118,2.330139287730781,0.0008413137594494846,40,,,,,False,794141,364056,109530,320555,45.84274077273432,13.792261072026252,40.364998155239434
119,2.1737252373310856,0.0009099564682366756,45,2015.223652482431,84364.05584422083,1.0,607560.0,True,794141,295694,186581,311866,37.234445772224326,23.49469426713896,39.27085996063671
120,0.4803898278686749,0.0008804601317715103,54,,,,,False,794141,27034,732553,34554,3.404181373332947,92.24470213727788,4.351116489389164
121,2.262857662606717,0.000942315930769316,41,2027.1980760417396,86348.87788175316,1.0,602638.0,True,794141,293372,191503,309266,36.9420543706974,24.114483448153415,38.943462181149194
122,2.2455389425279626,0.000924712387969462,43,2030.42138924478,86907.3656177686,1.0,613058.0,True,794141,301233,181083,311825,37.93192896475563,22.80237388574573,39.26569714949864
123,2.273923371783275,0.0009280814348336589,41,2039.6372081901075,87883.45701249897,1.0,615717.0,True,794141,304249,178424,311468,38.31171038896116,22.467546695108297,39.22074291593054
124,2.3631103715470942,0.0009001455898717059,46,,,,,False,794141,340213,135486,318442,42.84037721261086,17.06069828909476,40.09892449829439
125,2.214218846542758,0.000925925308166534,41,2023.695043678569,84973.48437401469,1.0,603063.0,True,794141,293062,191078,310001,36.903018481604654,24.060966503429494,39.036015014965855
126,2.0792127854293545,0.0008605505530587187,37,1999.6042807263248,82057.4746527152,1.0,616947.0,True,794141,303848,177194,313099,38.26121557758635,22.312662360966126,39.42612206144753
127,2.2934427105817976,0.0003294059525460332,45,,,,,False,794141,458666,3650,331825,57.75624227939371,0.4596161135113286,41.78414160709496
128,2.420520899976069,0.0006358009920964477,44,,,,,False,794141,444352,21510,328279,55.95379158109203,2.7085870141448436,41.337621404763134
129,2.1646917820007663,0.0009666118551531413,43,1968.3556991988978,79451.83553372823,1.0,558231.0,True,794141,256808,235910,301423,32.3378342133198,29.706311599577408,37.955854187102794
130,2.320476081899129,0.0009223669689461478,38,2045.1268651824587,90098.4107746583,1.0,627372.0,True,794141,315334,166769,312038,39.70755822958392,20.999923187444043,39.29251858297204
131,1.4581324579264692,0.0009134015583863798,38,,,,,False,794141,123729,454524,215888,15.58023071469676,57.23467243222551,27.185096853077727
132,2.3388999006758495,0.0008909044452559172,41,,,,,False,794141,339021,138053,317067,42.69027792293812,17.383940635227248,39.92578144183464
133,2.2717324705425233,0.0009331771720473196,39,2035.7854394600133,87117.61979641947,1.0,609547.0,True,794141,299701,184594,309846,37.739016119303756,23.244486810276765,39.01649707041949
134,2.230092247995445,0.0009342869212739421,35,2021.7769202445725,84201.28822436073,1.0,594407.0,True,794141,288135,199734,306272,36.282599689475795,25.15094926467718,38.566451045847025
135,2.2784134790487918,0.0009103207901851867,36,2054.509779855677,88405.04799851782,1.0,624378.0,True,794141,313189,169763,311189,39.43745506150671,21.376934322746212,39.18561061574708
136,2.3129712509668203,0.0008817954524726786,34,,,,,False,794141,334448,146446,313247,42.11443559770872,18.44080585185754,39.44475855043374
137,2.4979580338925715,0.0009168155296538402,36,,,,,False,794141,346369,134936,312836,43.61555441665901,16.99144106651086,39.39300451683013
138,2.388031351635423,0.0008505005073522315,39,,,,,False,794141,367221,107323,319597,46.24128460814893,13.514350726130498,40.244364665720575
139,2.2715320420393432,0.000984935096765751,38,2008.9081697531396,83128.35590317348,1.0,568439.0,True,794141,266795,225702,301644,33.59541945322053,28.420897548420243,37.983682998359235
140,0.3093844269130408,0.0009343990208807504,33,,,,,False,794141,16943,757742,19456,2.1335002222527235,95.41655700939758,2.449942768349701
141,2.2133768497700577,0.0009102406914761503,57,2023.2555074011018,87028.4141668626,1.0,620850.0,True,794141,305980,173291,314870,38.52968175676612,21.821187925066205,39.64913031816768
142,2.12011683304667,0.0004020567892880564,41,,,,,False,794141,456783,4663,332695,57.51913073371102,0.5871753252885823,41.89369394100041
143,2.180383557835073,0.0009662630570809027,37,1976.9811895171317,79634.56162766086,1.0,558712.0,True,794141,258490,235429,300222,32.549635392203655,29.64574301037221,37.80462159742414
144,2.2596553742144843,0.00089774879159984,42,,,,,False,794141,320486,158565,315090,40.35630952186073,19.966857270938032,39.67683320720124
145,2.321241851608616,0.000529646354233991,39,,,,,False,794141,451323,13653,329165,56.831595396787215,1.7192161089781284,41.449188494234654
146,2.3724636990454195,0.0009463867975259195,40,2041.9028676654407,91505.90971622356,1.0,624078.0,True,794141,312505,170063,311573,39.35132426105692,21.414710989610157,39.23396474933293
147,2.4545760923356754,0.0009455620101681541,35,2065.296392171206,94050.31339819489,1.0,632599.0,True,794141,323316,161542,309283,40.71266941261061,20.341727728451247,38.94560285893815
148,2.433355590131989,0.0008759923426166843,30,,,,,False,794141,349630,135276,309235,44.02618678547008,17.034254622289996,38.93955859223991
149,2.4464969610943657,0.0009559683612713935,35,2058.9710744982467,93046.82727652717,1.0,624273.0,True,794141,316272,169868,308001,39.82567327464518,21.390156156148592,38.784170569206225
150,2.4703096475898043,0.0009647334286061577,32,2065.4159330393754,92274.99873059333,1.0,614922.0,True,794141,311183,179219,303739,39.1848550824098,22.567654862297754,38.24749005529245
151,2.4588215649852896,0.0009648060676593665,30,2051.7048161516514,90770.3543801501,1.0,606903.0,True,794141,306305,187238,300598,38.570606479202056,23.577425167570997,37.851968353226944
152,2.4549888142877276,0.0009658006381536448,31,2055.6714930667035,91074.12712594654,1.0,608762.0,True,794141,306746,185379,302016,38.62613817949205,23.343335755237423,38.03052606527053
153,2.469144156489351,0.000965345918444317,31,2060.101837616661,91691.95058089939,1.0,611371.0,True,794141,309179,182770,302192,38.93250694775865,23.01480467574398,38.05268837649737
154,2.4707638023688494,0.000986789758693641,31,2050.885734652789,90323.29165530823,1.0,596768.0,True,794141,297049,197373,299719,37.40507038422648,24.853646896457935,37.74128271931559
155,2.4575413214066275,0.0009916757821934912,31,2044.200767201034,89426.12832557005,1.0,591091.0,True,794141,292169,203050,298922,36.79056993657298,25.56850735574665,37.640922707680375
156,2.4519026235391665,0.0009736290006157773,31,2050.947227736139,90417.18793196818,1.0,602743.0,True,794141,301690,191398,301053,37.989475420611704,24.10126161475103,37.909262964637264
157,2.471992068226618,0.0009957826063376359,30,2041.1122106975615,89240.09208052326,1.0,587650.0,True,794141,290725,206491,296925,36.608738246734525,26.001805724676096,37.38945602858938
158,2.4699953204756513,0.0009978644381240583,30,2039.3681482533034,89013.128286839,1.0,585862.0,True,794141,289194,208279,296668,36.415951323505524,26.22695465918521,37.357094017309265
